place_name,region,source,review_count,rating,cuisine,eating_type,price,range,comment,second_comment,location.1,rating_google,location,formatted_region
In Da Compound Warung,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d19656817-Reviews-In_Da_Compound_Warung-Ubud_Gianyar_Regency_Bali.html#REVIEWS,201,Average,"Indonesian, Asian",Cheap Eats,Cheap,8.8 mi,Amazing,Sooo sooo good,"{'lat': -8.508572899999999, 'lng': 115.2642564}",4.9,"Jl. Gootama No.6, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Sugriwa's Warung,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d15551796-Reviews-Sugriwa_s_Warung-Ubud_Gianyar_Regency_Bali.html#REVIEWS,524,Average,"Asian, Indonesian",Cheap Eats,Cheap,8.9 mi,Loved it!,Amazing food at Sagriwa‘s warung,"{'lat': -8.5096621, 'lng': 115.2659891}",4.8,"Jl. Sugriwa No.7, Padang Tegal Kaja, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Kayunan Warung and Coffee,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d18727573-Reviews-Kayunan_Warung_and_Coffee-Ubud_Gianyar_Regency_Bali.html#REVIEWS,536,Average,"Indonesian, Cafe",Cheap Eats,Cheap,8.8 mi,Visit to Kayunan Warung and Cafe,Good place,"{'lat': -8.5090193, 'lng': 115.2650161}",4.5,"Jl. Hanoman No.7, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Warung Ubay,Ungasan,https://www.tripadvisor.com/Restaurant_Review-g1219108-d15603624-Reviews-Warung_Ubay-Ungasan_Bukit_Peninsula_Bali.html#REVIEWS,105,Low,"Asian, Indonesian",Cheap Eats,Cheap,28.7 mi,one of the best in bali!,Delicious food in Ungasan,"{'lat': -8.819796499999999, 'lng': 115.1523376}",4.8,"Uluwatu St No.101, Ungasan, South Kuta, Badung Regency, Bali 80361, Indonesia","Kuta Selatan, Badung"
Wayan’s Warung,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d13859740-Reviews-Wayan_s_Warung-Ubud_Gianyar_Regency_Bali.html#REVIEWS,222,Average,Indonesian,Cheap Eats,Cheap,8.8 mi,"Fantastic food, nice people",Amazing Must-Go-To place,"{'lat': -8.5221324, 'lng': 115.2417859}",4.8,"Jl. Raya Tebongkang No.8, Singakerta, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Beach Boy Canggu,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d17801852-Reviews-Beach_Boy_Canggu-Canggu_North_Kuta_Bali.html#REVIEWS,143,Low,"Bar, Healthy",Cheap Eats,Cheap,17.6 mi,Sintya,Perfect place for dessert,"{'lat': -8.653312999999999, 'lng': 115.1306556}",4.8,"Jl. Munduk Catu No.8, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
NASI AYAM bubur bali,Gianyar,https://www.tripadvisor.com/Restaurant_Review-g297695-d15129946-Reviews-NASI_AYAM_bubur_bali-Gianyar_Gianyar_Regency_Bali.html#REVIEWS,147,Low,"Asian, Indonesian",Cheap Eats,Cheap,12.6 mi,Great food,Great Restaurant,"{'lat': -8.529200399999999, 'lng': 115.3253093}",4.9,"Jl. Bukit Buluh, Beng, Kec. Gianyar, Kabupaten Gianyar, Bali 80513, Indonesia","Gianyar, Gianyar"
Warung Forest,Nusa Penida,https://www.tripadvisor.com/Restaurant_Review-g2538506-d12335276-Reviews-Warung_Forest-Nusa_Penida_Bali.html#REVIEWS,157,Low,"Bar, European",Cheap Eats,Cheap,35.0 mi,“The best warung on penida allways”,Best seafood on Nusa penida island,"{'lat': -8.7184432, 'lng': 115.592067}",4.8,"7HJR+JRF, Suana, Nusa Penida, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Warung Tirta Unda,Sidemen,https://www.tripadvisor.com/Restaurant_Review-g608495-d13195707-Reviews-Warung_Tirta_Unda-Sidemen_Karangasem_Bali.html#REVIEWS,98,Low,"Asian, Indonesian",Cheap Eats,Cheap,17.7 mi,A must visit - authentic local lunch with...,Delicious food!,"{'lat': -8.4670846, 'lng': 115.441181}",5,"Jl. Sidemen - Sangkan Gn., Telaga Tawang, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","Sidemen, Karangasem"
Warung Nia,Seminyak,https://www.tripadvisor.com/Restaurant_Review-g469404-d8806355-Reviews-Warung_Nia-Seminyak_Kuta_District_Bali.html#REVIEWS,2604,High,Indonesian,Cheap Eats,Cheap,19.5 mi,Amazing ribs!,Balinese cooking class,"{'lat': -8.6860847, 'lng': 115.1565515}",4.6,"Kayu Aya Square, No. 19-21, Jl. Kayu Aya Seminyak, Kec. Kuta Utara, Bali, 80361, Indonesia","Kuta Utara, Badung"
Warung Ketut,Bunutan,https://www.tripadvisor.com/Restaurant_Review-g2528747-d15122203-Reviews-Warung_Ketut-Bunutan_Amed_Abang_Karangasem_Bali.html#REVIEWS,118,Low,"Seafood, Grill",Cheap Eats,Cheap,33.9 mi,Great Warung in Amed,Absolutely the best!!!,"{'lat': -8.6690591, 'lng': 115.4487684}",4.7,"Jungutbatu, Nusa Penida, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Warung Agung Amed,Bunutan,https://www.tripadvisor.com/Restaurant_Review-g2528747-d18192752-Reviews-Warung_Agung_Amed-Bunutan_Amed_Abang_Karangasem_Bali.html#REVIEWS,242,Average,"Chinese, Seafood",Cheap Eats,Cheap,34.0 mi,Fabulous Food and Music,Great Night,"{'lat': -8.3515286, 'lng': 115.6830181}",4.8,"Jl. Raya Lipah, Bunutan, Kec. Abang, Kabupaten Karangasem, Bali 80852, Indonesia","Abang, Karangasem"
"Tarabelle (Donuts, Coffee & Eats)",Pecatu,https://www.tripadvisor.com/Restaurant_Review-g1380108-d13481086-Reviews-Tarabelle_Donuts_Coffee_Eats-Pecatu_Bukit_Peninsula_Bali.html#REVIEWS,157,Low,"American, Korean",Cheap Eats,Cheap,28.8 mi,perfect,Do not miss the do nut,"{'lat': -8.8201321, 'lng': 115.1503454}",4.7,"Uluwatu St No.77, Ungasan, South Kuta, Badung Regency, Bali 80361, Indonesia","Kuta Selatan, Badung"
Warong Legong,Gianyar,https://www.tripadvisor.com/Restaurant_Review-g297695-d4274987-Reviews-Warong_Legong-Gianyar_Gianyar_Regency_Bali.html#REVIEWS,1020,High,"International, Asian",Cheap Eats,Cheap,16.5 mi,Love this place!,Great tasty food.,"{'lat': -8.594681099999999, 'lng': 115.3358316}",4.8,"Jalan Professor Doktor Ida Bagus Mantra No. 300A Keramas, Medahan, Kec. Blahbatuh, Kabupaten Gianyar, Bali, Indonesia","Blahbatuh, Gianyar"
Warung Sabar,Amed,https://www.tripadvisor.com/Restaurant_Review-g608478-d4104406-Reviews-Warung_Sabar-Amed_Abang_Karangasem_Bali.html#REVIEWS,736,Average,"Seafood, Asian",Cheap Eats,Cheap,33.8 mi,Great place to eat in Amed,"Great food, service and prices!","{'lat': -8.3476483, 'lng': 115.6803875}",4.8,"Bunutan, Abang, Karangasem Regency, Bali 80852, Indonesia","Abang, Karangasem"
Hai Ri Zen,Nusa Lembongan,https://www.tripadvisor.com/Restaurant_Review-g1137831-d14888240-Reviews-Hai_Ri_Zen-Nusa_Lembongan_Bali.html#REVIEWS,356,Average,"Seafood, Grill",Cheap Eats,Cheap,25.4 mi,Great romantic dinner with an amazing view,LOVED IT,"{'lat': -8.681864899999999, 'lng': 115.4338839}",4.6,"Mushroom Bay Nusa Lembongan, Jungutbatu, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Sun Sun Warung,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d15296872-Reviews-Sun_Sun_Warung-Ubud_Gianyar_Regency_Bali.html#REVIEWS,760,Average,"Asian, Healthy",Cheap Eats,Cheap,8.9 mi,"Very busy place, order takeout and enjoy...",Perfect,"{'lat': -8.5091102, 'lng': 115.266896}",4.8,"Jl. Jembawan No.2, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Asparagus Seminyak,Seminyak,https://www.tripadvisor.com/Restaurant_Review-g469404-d23092742-Reviews-Asparagus_Seminyak-Seminyak_Kuta_District_Bali.html#REVIEWS,150,Low,"Italian, European",Cheap Eats,Cheap,19.4 mi,Great,Great dinner at Asparagus!,"{'lat': -8.6842753, 'lng': 115.1610203}",4.9,"Jl. Kayu Aya No.55, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80237, Indonesia","Kuta, Badung"
Made's Banana Flour Company,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d11549768-Reviews-Made_s_Banana_Flour_Company-Canggu_North_Kuta_Bali.html#REVIEWS,430,Average,"Bakeries, Cafe",Cheap Eats,Cheap,17.1 mi,Coeliac safe and delicious!!,Coeliacs dream,"{'lat': -8.6481927, 'lng': 115.1387905}",4.6,"Jl. Pantai Batu Bolong No.41, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Chow Chow Bali,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d23821946-Reviews-Chow_Chow_Bali-Canggu_North_Kuta_Bali.html#REVIEWS,129,Low,"Fusion, Japanese Fusion",Cheap Eats,Cheap,17.6 mi,Amazing,Wonderful,"{'lat': -8.6532441, 'lng': 115.1318001}",4.9,"Jl. Pantai Batu Bolong Gg. Nyepi No.22, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
Warung Rama,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d8449386-Reviews-Warung_Rama-Ubud_Gianyar_Regency_Bali.html#REVIEWS,197,Low,"Asian, Indonesian",Cheap Eats,Cheap,9.5 mi,Delicious food,Great value,"{'lat': -8.525182899999999, 'lng': 115.2567857}",4.9,"Jl. Nyuh Gading No.1-11, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Avocado Warung Ubud,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d14159638-Reviews-Avocado_Warung_Ubud-Ubud_Gianyar_Regency_Bali.html#REVIEWS,323,Average,"Healthy, Indonesian",Cheap Eats,Cheap,8.3 mi,Good Healthy Food,Food but better,"{'lat': -8.4967113, 'lng': 115.269546}",4.8,"Jl. Tirta Tawar No.45, Banjar Kutuh Kaja, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Cloudland Bar Lembongan,Nusa Lembongan,https://www.tripadvisor.com/Restaurant_Review-g1137831-d13979519-Reviews-Cloudland_Bar_Lembongan-Nusa_Lembongan_Bali.html#REVIEWS,177,Low,"Indonesian, Bar",Cheap Eats,Cheap,25.5 mi,A must visit experience,Super chilled,"{'lat': -8.6875266, 'lng': 115.4291587}",4.9,"Sunset Rd, Lembongan, Nusa Penida, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Warnakali Restaurant,Nusa Penida,https://www.tripadvisor.com/Restaurant_Review-g12696636-d17412271-Reviews-Warnakali_Restaurant-Sakti_Nusa_Penida_Bali.html#REVIEWS,203,Average,"Cafe, International",Cheap Eats,Cheap,27.8 mi,Day trip to Penida Island one of the best...,Must visit when you’re in Nusa Penida,"{'lat': -8.6845424, 'lng': 115.4832347}",4.6,"Sakti, Regency, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Namaskara Coffee & Superfoods Ubud,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d13198686-Reviews-Namaskara_Coffee_Superfoods_Ubud-Ubud_Gianyar_Regency_Bali.html#REVIEWS,117,Low,"Coffee & Tea, Cafe",Cheap Eats,Cheap,8.9 mi,"Great food, even better coffee!",Nice vibe and good coffee,"{'lat': -8.508708200000001, 'lng': 115.2682596}",4.7,"Jl. Tirta Tawar No.50, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Sensorium Bali,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d15836252-Reviews-Sensorium_Bali-Canggu_North_Kuta_Bali.html#REVIEWS,424,Average,"Asian, Australian",Cheap Eats,Cheap,17.0 mi,World Class Food,Best cafe at canggu,"{'lat': -8.649617, 'lng': 115.1306972}",4.8,"Jl. Pantai Batu Mejan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia","Kuta Utara, Badung"
Roby Pizza Italiana,Benoa,https://www.tripadvisor.com/Restaurant_Review-g14121408-d14140810-Reviews-Roby_Pizza_Italiana-Benoa_South_Kuta_Bali.html#REVIEWS,219,Average,"Italian, Pizza",Cheap Eats,Cheap,27.4 mi,Best pizza you will ever have - hidden...,Best pizza in town,"{'lat': -8.7904007, 'lng': 115.2258801}",4.8,"Jl. Pratama No.49A, Benoa, Kec. Kuta Sel., Bali, 80361, Indonesia","Kuta Selatan, Badung"
The Farmer Brews Coffee,Seminyak,https://www.tripadvisor.com/Restaurant_Review-g469404-d13319577-Reviews-The_Farmer_Brews_Coffee-Seminyak_Kuta_District_Bali.html#REVIEWS,146,Low,"Coffee & Tea, American",Cheap Eats,Cheap,19.7 mi,Delicious coffee!,Perfect.,"{'lat': -8.6897655, 'lng': 115.1629414}",4.7,"Jl. Drupadi No.21, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","Kuta, Badung"
Uname Ubud by Pramana,Singakerta,https://www.tripadvisor.com/Restaurant_Review-g15880600-d16817469-Reviews-Uname_Ubud_by_Pramana-Singakerta_Ubud_Gianyar_Regency_Bali.html#REVIEWS,273,Average,"Asian, Healthy",Cheap Eats,Cheap,10.2 mi,Amazing!,"Amazing food, fair prices, great service...","{'lat': -8.541374099999999, 'lng': 115.2498386}",4.7,"Jl. Padang Getas, Singakerta, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Balinese Home Cooking,Kedewatan,https://www.tripadvisor.com/Restaurant_Review-g1933359-d12931308-Reviews-Balinese_Home_Cooking-Kedewatan_Ubud_Gianyar_Regency_Bali.html#REVIEWS,808,Average,"Asian, Indonesian",Cheap Eats,Cheap,6.8 mi,Great Nasi Campur,Yummy Balinese home cooked food,"{'lat': -8.4817249, 'lng': 115.25142}",4.8,"Jl. RSI Markandya II Br.Payogan No.:20, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Jikaa Coffee x Eatery,Canggu,https://www.tripadvisor.com/Restaurant_Review-g311298-d12447495-Reviews-Jikaa_Coffee_x_Eatery-Canggu_North_Kuta_Bali.html#REVIEWS,168,Low,"American, Cafe",Cheap Eats,Cheap,17.2 mi,Awesome breakfast place,Nice place for breakfast.,"{'lat': -8.6515097, 'lng': 115.1492359}",4.8,"Jl. Pantai Berawa No.1a, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","Kuta Utara, Badung"
SizzleWraps,Mengwi,https://www.tripadvisor.com/Restaurant_Review-g1025508-d10915790-Reviews-SizzleWraps-Mengwi_Bali.html#REVIEWS,403,Average,"Mexican, Cafe",Cheap Eats,Cheap,15.7 mi,Best Mexican in Bali !,Best Burrito in bali,"{'lat': -8.616913, 'lng': 115.116362}",4.6,"Jl. By Pass Tanah Lot, Cemagi, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","Mengwi, Badung"
Jaring Kitchen & Drinks,Anturan,https://www.tripadvisor.com/Restaurant_Review-g1600236-d13946988-Reviews-Jaring_Kitchen_Drinks-Anturan_Lovina_Beach_Buleleng_District_Buleleng_Regency_B.html#REVIEWS,259,Average,"International, Asian",Cheap Eats,Cheap,19.9 mi,Great family dinner,Amazing food with low prices,"{'lat': -8.1639926, 'lng': 115.0310425}",4.8,"Jalan Damai (I Gede Taman) In Front of Candi Budha, Temple, Anturan, Buleleng, Buleleng Regency, Bali 81152, Indonesia","Buleleng, Buleleng"
Warung Made's Munduk,Munduk,https://www.tripadvisor.com/Restaurant_Review-g608490-d11876343-Reviews-Warung_Made_s_Munduk-Munduk_Banjar_Buleleng_Regency_Bali.html#REVIEWS,403,Average,"Asian, Indonesian",Cheap Eats,Cheap,12.9 mi,Must-eat in Munduk! One of our top 3,Fantastic local experience,"{'lat': -8.261658599999999, 'lng': 115.0688894}",4.9,"Munduk, Banjar, Buleleng Regency, Bali 81161, Indonesia","Banjar, Buleleng"
Golden Valley Breeze - ECO CAFe 1,Munduk,https://www.tripadvisor.com/Restaurant_Review-g608490-d2469622-Reviews-Golden_Valley_Breeze_ECO_CAFe_1-Munduk_Banjar_Buleleng_Regency_Bali.html#REVIEWS,246,Average,"Coffee & Tea, Healthy",Cheap Eats,Cheap,13.1 mi,cafe in front of waterfall,A Cafe on the waterfall,"{'lat': -8.2545298, 'lng': 115.0735443}",4.7,"Jl. Kayu Putih - Munduk, Munduk, Kec. Banjar, Kabupaten Buleleng, Bali 81152, Indonesia","Banjar, Buleleng"
Twist Ubud,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d15009688-Reviews-Twist_Ubud-Ubud_Gianyar_Regency_Bali.html#REVIEWS,404,Average,"American, European",Cheap Eats,Cheap,9.4 mi,Fantastic,Best pork in Ubud,"{'lat': -8.5211937, 'lng': 115.2628029}",4.8,"Jl. Raya Pengosekan Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
The Dungki Bendega Resto,Nusa Ceningan,https://www.tripadvisor.com/Restaurant_Review-g2538504-d10716561-Reviews-The_Dungki_Bendega_Resto-Nusa_Ceningan_Bali.html#REVIEWS,436,Average,"Healthy, Indonesian",Cheap Eats,Cheap,27.1 mi,Amazing food,Worth the walk!,"{'lat': -8.7078961, 'lng': 115.4422771}",4.8,"7CRR+VW6, Jl. Secret Beach, Nusa Ceningan, Lembongan, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Abe-Do Organic Warung,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d3700980-Reviews-Abe_Do_Organic_Warung-Ubud_Gianyar_Regency_Bali.html#REVIEWS,360,Average,"Asian, Indonesian",Cheap Eats,Cheap,8.3 mi,You must visit,"Superb, highly recommended.","{'lat': -8.496516999999999, 'lng': 115.2695602}",4.8,"Br. Kutuh Kaja Jl. Tirta Tawar No.43, Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Warung Lonto,Nusa Penida,https://www.tripadvisor.com/Restaurant_Review-g2538506-d13968678-Reviews-Warung_Lonto-Nusa_Penida_Bali.html#REVIEWS,189,Low,"Italian, Asian",Cheap Eats,Cheap,31.4 mi,Delicious food.,Amazing!,"{'lat': -8.673926, 'lng': 115.5595925}",4.7,"Batununggul, Nusa Penida, Klungkung Regency, Bali 80771, Indonesia","Nusa Penida, Klungkung"
ShamanaMama restaurant,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d17432296-Reviews-ShamanaMama_restaurant-Ubud_Gianyar_Regency_Bali.html#REVIEWS,150,Low,"European, Cafe",Cheap Eats,Cheap,8.6 mi,Nice restaurant,Amazing place with kids,"{'lat': -8.5101529, 'lng': 115.2583663}",4.3,"Jl. Bisma No.45, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
Warung Maha Neka,Sidemen,https://www.tripadvisor.com/Restaurant_Review-g608495-d10444473-Reviews-Warung_Maha_Neka-Sidemen_Karangasem_Bali.html#REVIEWS,226,Average,"Barbecue, Asian",Cheap Eats,Cheap,17.9 mi,Great Pork Ribs,Great family restaurant!,"{'lat': -8.4735348, 'lng': 115.4414277}",4.9,"Banjar Tabola, Telaga Tawang, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","Sidemen, Karangasem"
Warung Osin,Amed,https://www.tripadvisor.com/Restaurant_Review-g608478-d6780870-Reviews-Warung_Osin-Amed_Abang_Karangasem_Bali.html#REVIEWS,390,Average,"Asian, Indonesian",Cheap Eats,Cheap,32.0 mi,"Great local food, cooked to order by a...",Superb local food at very good prices,"{'lat': -8.3354505, 'lng': 115.65137}",4.7,"Purwakerti, Abang, Karangasem Regency, Bali 80852, Indonesia","Abang, Karangasem"
Warung Krisna,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d12951793-Reviews-Warung_Krisna-Ubud_Gianyar_Regency_Bali.html#REVIEWS,193,Low,"Asian, Indonesian",Cheap Eats,Cheap,8.8 mi,"Good food, friendly staff",Amazing Soto Ayam and Healthy Meal. My...,"{'lat': -8.5075171, 'lng': 115.2663779}",4.7,"Jl. Sandat No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
The Rich Penida,Nusa Penida,https://www.tripadvisor.com/Restaurant_Review-g12948593-d16665833-Reviews-The_Rich_Penida-Ped_Nusa_Penida_Bali.html#REVIEWS,164,Low,"Healthy, International",Cheap Eats,Cheap,29.7 mi,Heerlijk diner,Good food,"{'lat': -8.6777233, 'lng': 115.5246272}",4.7,"Jl. Ped - Buyuk, Ped, Kec. Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Nusa Penida, Klungkung"
Bun Bali Cafe,Ubud,https://www.tripadvisor.com/Restaurant_Review-g297701-d12230666-Reviews-Bun_Bali_Cafe-Ubud_Gianyar_Regency_Bali.html#REVIEWS,160,Low,"Coffee & Tea, Indonesian",Cheap Eats,Cheap,8.9 mi,Delicious!,Perfect,"{'lat': -8.5110008, 'lng': 115.2638498}",4.8,"Jl. Goutama Sel., Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Ubud, Gianyar"
IZZY - Izakaya Street,Sanur,https://www.tripadvisor.com/Restaurant_Review-g297700-d23840448-Reviews-IZZY_Izakaya_Street-Sanur_Denpasar_Bali.html#REVIEWS,154,Low,"Japanese, Sushi",Cheap Eats,Cheap,19.9 mi,Excellent food! Good service,Must try in Sanur,"{'lat': -8.6846172, 'lng': 115.2587103}",4.4,"Jalan Raya Jl. Bypass Ngurah Rai No.274, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia","Denpasar Selatan, Denpasar"
